778246.765508814	8293237.70687815
778238.926284962	8293247.56390276
778230.932860419	8293257.29629862
778222.787216235	8293266.90165367
778214.491371186	8293276.37758739
778206.047381273	8293285.72175131
778197.45733921	8293294.93182961
778188.72337391	8293304.00553972
778179.847649956	8293312.94063284
778170.832367062	8293321.73489457
778161.679759529	8293330.38614536
778152.392095694	8293338.89224114
778142.971677365	8293347.2510738
778133.420839251	8293355.46057173
778123.741948382	8293363.51870033
778113.937403527	8293371.42346251
778104.009634593	8293379.17289919
778093.96110203	8293386.76508981
778083.794296215	8293394.19815273
778073.511736837	8293401.4702458
778063.115972274	8293408.57956673
778052.60957896	8293415.52435358
778041.995160746	8293422.3028852
778031.275348255	8293428.91348163
778020.452798233	8293435.35450453
778009.530192885	8293441.62435758
777998.510239215	8293447.72148691
777987.395668351	8293453.64438143
777976.189234874	8293459.39157323
777964.893716128	8293464.96163797
777953.511911539	8293470.35319519
777942.046641915	8293475.56490867
777930.500748751	8293480.59548677
777918.877093521	8293485.44368272
777907.178556976	8293490.10829499
777895.408038419	8293494.58816752
777883.568454998	8293498.88219004
777871.662740975	8293502.98929833
777859.693847002	8293506.90847452
777847.664739389	8293510.63874729
777835.578399369	8293514.17919216
777823.43782236	8293517.52893167
777811.24601722	8293520.68713566
777799.006005506	8293523.65302139
777786.72082072	8293526.42585382
777774.393507559	8293529.00494575
777762.027121164	8293531.38965799
777749.624726356	8293533.57939952
777737.189396883	8293535.57362765
777724.724214654	8293537.37184814
777712.232268976	8293538.97361532
777699.71665579	8293540.37853223
777687.180476902	8293541.58625068
777674.626839216	8293542.59647134
777662.058853962	8293543.40894386
777649.479635926	8293544.02346687
777636.892302677	8293544.43988807
777624.299973797	8293544.65810427
777611.705770104	8293544.67806137
777599.112812883	8293544.49975444
777586.524223108	8293544.12322765
777573.943120672	8293543.54857434
777561.372623611	8293542.77593691
777548.815847335	8293541.80550686
777536.27590385	8293540.63752469
777523.755900994	8293539.27227987
777511.25894166	8293537.71011076
777498.788123032	8293535.9514045
777486.346535815	8293533.99659698
777473.937263467	8293531.84617266
777461.563381442	8293529.5006645
777449.227956419	8293526.96065378
777436.934045547	8293524.22677002
777424.684695687	8293521.29969077
777412.482942657	8293518.18014145
777400.331810476	8293514.86889521
777388.234310621	8293511.36677269
777376.193441274	8293507.67464182
777364.212186584	8293503.79341766
777352.293515924	8293499.72406211
777340.440383157	8293495.46758369
777328.655725904	8293491.0250373
777316.942464815	8293486.39752397
777305.303502844	8293481.58619056
777293.741724535	8293476.59222949
777282.259995298	8293471.41687842
777270.861160709	8293466.06141999
777259.548045796	8293460.52718148
777248.323454345	8293454.81553446
777237.190168201	8293448.92789447
777226.150946583	8293442.86572069
777215.208525395	8293436.63051552
777204.365616551	8293430.22382427
777193.624907304	8293423.64723475
777182.989059575	8293416.90237685
777172.460709301	8293409.9909222
777162.042465773	8293402.91458368
777151.736910998	8293395.67511508
777141.546599051	8293388.27431057
777131.474055447	8293380.71400434
777121.521776516	8293372.99607009
777111.69222878	8293365.12242061
777101.987848343	8293357.09500725
777092.411040292	8293348.91581948
777082.964178092	8293340.5868844
777073.649603008	8293332.11026621
777064.469623516	8293323.48806571
777055.426514735	8293314.72241979
777046.522517865	8293305.81550087
777037.759839627	8293296.7695164
777029.140651719	8293287.58670829
777020.667090276	8293278.26935236
777012.341255343	8293268.81975779
777004.165210354	8293259.24026651
776996.140981617	8293249.53325264
776988.270557817	8293239.70112194
776980.555889521	8293229.74631114
776972.998888692	8293219.6712874
776965.60142822	8293209.47854766
776958.365341453	8293199.17061803
776951.292421747	8293188.75005318
776944.384422019	8293178.21943569
776937.643054311	8293167.58137542
776931.069989372	8293156.83850884
776924.666856235	8293145.99349842
776918.435241821	8293135.04903193
776912.376690542	8293124.00782179
776906.492703919	8293112.8726044
776900.784740209	8293101.64613946
776895.254214045	8293090.33120926
776889.902496084	8293078.93061806
776884.73091267	8293067.44719131
776879.740745502	8293055.88377501
776874.933231316	8293044.24323497
776870.309561584	8293032.52845614
776865.870882212	8293020.74234183
776861.61829326	8293008.88781307
776857.552848668	8292996.96780782
776853.675555995	8292984.98528027
776849.987376171	8292972.94320011
776846.489223254	8292960.8445518
776843.18196421	8292948.69233379
776840.066418693	8292936.48955783
776837.143358844	8292924.2392482
776834.413509099	8292911.94444095
776831.87754601	8292899.60818316
776829.536098078	8292887.2335322
776827.389745595	8292874.82355492
776825.439020503	8292862.38132696
776823.684406259	8292849.90993194
776822.126337717	8292837.4124607
776820.765201023	8292824.89201056
776819.601333513	8292812.35168451
776818.635023634	8292799.79459049
776817.866510871	8292787.22384059
776817.295985689	8292774.64255028
776816.923589484	8292762.05383764
776816.749414549	8292749.46082259
776816.77350405	8292736.86662612
776816.995852017	8292724.27436952
776817.416403345	8292711.68717358
776818.035053805	8292699.10815786
776818.851650076	8292686.54043987
776819.865989775	8292673.98713433
776821.077821515	8292661.4513524
776822.48684496	8292648.93620087
776824.092710906	8292636.44478143
776825.895021363	8292623.9801899
776827.893329655	8292611.54551544
776830.087140532	8292599.1438398
776832.47591029	8292586.77823654
776835.05904691	8292574.45177029
776837.835910199	8292562.16749599
776840.805811954	8292549.9284581
776843.968016129	8292537.73768988
776847.32173902	8292525.59821264
776850.866149457	8292513.51303496
776854.600369011	8292501.48515196
776858.523472212	8292489.51754459
776862.634486778	8292477.61317883
776866.932393856	8292465.775005
776871.416128275	8292454.00595701
776876.084578807	8292442.30895164
776880.936588449	8292430.68688782
776885.970954702	8292419.14264591
776891.186429876	8292407.67908697
