etp_veg,bloco,utm-x,utm-y,pH_H2O_sA,pH_CaCl2_sA,P_resina_sA,K_trocavel_sA,MO_sA,Ca_sA,Zn_sA,B_sA,Mn_sA,Fe_sA,Na_sA,S_sA,Mg_sA,pH_H2O_sB,pH_CaCl2_sB,P_resina_sB,K_trocavel_sB,MO_sB,Ca_sB,Zn_sB,B_sB,Mn_sB,Fe_sB,Na_sB,S_sB,Mg_sB,Elementos_baixo_sA,Elementos_baixo_sB,ndvi,savi,gli,tx_ocupacao,status_term
Etapa 1 - Vegetativo,1,777544.4498126635,8292756.338235238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161298796534538,0.0757588371634483,0.0012595687294378,0.40584995586294575,baixa
Etapa 1 - Vegetativo,2,777465.4272224254,8292695.0566700455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171363905072212,0.0726314783096314,0.0019708212930709,0.2291132510428244,baixa
Etapa 1 - Vegetativo,3,777386.4046321873,8292633.775104862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176666811108589,0.0729251280426979,0.0026887056883424,0.29600801724652254,baixa
Etapa 1 - Vegetativo,4,777307.3820419493,8292572.493539673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175251722335815,0.0659300908446312,0.001495604054071,0.4779174368430151,baixa
Etapa 1 - Vegetativo,5,777228.3594517104,8292511.211974483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166708171367645,0.0587378926575184,0.0019324717577546,0.2123338624254929,baixa
Etapa 1 - Vegetativo,6,777149.3368614712,8292449.930409295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16848985850811,0.0631352663040161,0.0016147876158356,0.29272185475304485,media
Etapa 1 - Vegetativo,7,777070.3142712327,8292388.648844104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167741104960442,0.0665236264467239,0.0011071431217715,0.46600110672032663,media
Etapa 1 - Vegetativo,8,776992.551269783,8292327.619850171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156574964523315,0.0734285041689873,0.0014717647572979,0.2931225396162537,media
Etapa 1 - Vegetativo,9,777483.1682463661,8292835.360823511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145828798413277,0.0651596412062645,0.000828280521091,0.47156526291932566,media
Etapa 1 - Vegetativo,10,777404.1456572006,8292774.079256934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146957039833069,0.0596901848912239,0.0011295017320662,0.3882640679986332,media
Etapa 1 - Vegetativo,11,777325.1230680345,8292712.797690365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142517477273941,0.052440345287323,0.0007692716899327,0.44417477046699333,media
Etapa 1 - Vegetativo,12,777246.1004788686,8292651.516123795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141081392765045,0.0527705475687981,0.0005794627941213,0.3570304285093888,media
Etapa 1 - Vegetativo,13,777167.0778897025,8292590.234557224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141911119222641,0.0570363663136959,0.0009358836687169,0.2811754441187047,media
Etapa 1 - Vegetativo,14,777088.0553005362,8292528.952990651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141603007912636,0.057487715035677,0.0011510263429954,0.30318294960027004,media
Etapa 1 - Vegetativo,15,777009.0327113708,8292467.671424081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.140968531370163,0.0601334124803543,0.0006893354002386,0.42737368027162115,baixa
Etapa 1 - Vegetativo,16,776937.1432604139,8292409.480980653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137688115239143,0.0620996840298176,0.0013554524630308,0.39694684639425515,baixa
Etapa 1 - Vegetativo,17,777421.8866797633,8292914.383412651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126139581203461,0.0586726851761341,0.0002987100742757,0.5898590749738435,media
Etapa 1 - Vegetativo,18,777342.8640905978,8292853.10184608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127534165978432,0.0552998334169388,0.0002971290668938,0.7055738145493347,media
Etapa 1 - Vegetativo,19,777263.8415014314,8292791.820279505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.140444919466972,0.0557296276092529,0.0018335534259676,0.3568046956763205,media
Etapa 1 - Vegetativo,20,777184.8189122656,8292730.5387129355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135375753045082,0.0511242784559727,0.001627396675758,0.4547547647852475,media
Etapa 1 - Vegetativo,21,777105.7963230995,8292669.257146367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.120703905820847,0.045061968266964,0.0002335066819796,0.8922878762803956,media
Etapa 1 - Vegetativo,22,777026.7737339335,8292607.975579796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.120026297867298,0.0466339513659477,9.52838599914e-05,0.9725639867496105,media
Etapa 1 - Vegetativo,23,776947.7511447676,8292546.694013219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118357636034489,0.0480663105845451,0.0001687507901806,0.8681146329169677,media
Etapa 1 - Vegetativo,24,776887.5736417036,8292493.957021767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104262083768845,0.0440406054258347,0.0003166028764098,0.7251649576164843,media
Etapa 1 - Vegetativo,25,777360.6051131604,8292993.406001793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127141207456589,0.0666538178920746,0.0011507148155942,0.4338462461693796,baixa
Etapa 1 - Vegetativo,26,777281.5825239943,8292932.124435221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124899558722973,0.0667562708258629,0.0001325225312029,0.6521040599667353,baixa
Etapa 1 - Vegetativo,27,777202.5599348285,8292870.842868648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118620365858078,0.0615630000829697,0.0001524927065474,0.6059223778638008,baixa
Etapa 1 - Vegetativo,28,777123.5373456624,8292809.561302076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118238486349583,0.0614519268274307,0.0002591021184343,0.5977061595687829,baixa
Etapa 1 - Vegetativo,29,777044.5147564965,8292748.2797355065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125592857599258,0.0636112168431282,0.000686886603944,0.4146229933900853,baixa
Etapa 1 - Vegetativo,30,776965.4921673307,8292686.998168936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118253014981747,0.0588298924267292,0.000373393704649,0.5631511083300028,baixa
Etapa 1 - Vegetativo,31,776886.9527774737,8292625.667984069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112657219171524,0.0609763078391552,6.04167798883e-05,0.5816832359625055,baixa
Etapa 1 - Vegetativo,32,776849.232607201,8292569.739367467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0707473307847977,0.0339483097195625,7.5434186328e-06,0.8701087132373754,baixa
Etapa 1 - Vegetativo,33,777299.3235465575,8293072.428590936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12687461078167,0.0474415607750416,4.19284697272e-05,0.9762278903546249,baixa
Etapa 1 - Vegetativo,34,777220.3009573915,8293011.147024364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.130996435880661,0.0423720329999924,5.41259323654e-05,0.9202797773690776,baixa
Etapa 1 - Vegetativo,35,777141.2783682253,8292949.86545779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13175205886364,0.0477485321462154,4.18660092691e-05,0.9364427982490049,baixa
Etapa 1 - Vegetativo,36,777062.2557790597,8292888.58389122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.132890105247498,0.0577499866485596,3.78871372959e-05,0.8616437176597461,baixa
Etapa 1 - Vegetativo,37,776983.2331898934,8292827.302324644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.132319495081902,0.0599639192223549,8.57507402542e-05,0.8441537400817293,baixa
Etapa 1 - Vegetativo,38,776904.2106007277,8292766.020758077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127547293901443,0.0585204623639584,0.0002199781010858,0.7113703892207078,baixa
Etapa 1 - Vegetativo,39,776845.1169703807,8292707.665482833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124306924641132,0.0635625123977661,0.0005365742836147,0.2304099532453835,baixa
Etapa 1 - Vegetativo,40,777238.0419799545,8293151.451180076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112624779343605,0.0511361062526703,3.9577626012e-05,0.9624059222955573,media
Etapa 1 - Vegetativo,41,777159.0193907886,8293090.169613506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.120314545929432,0.0533868186175823,2.59435364569e-05,0.8855428056709055,media
Etapa 1 - Vegetativo,42,777079.9968016226,8293028.888046935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121498167514801,0.0512411072850227,5.78136168769e-05,0.7171352337441105,media
Etapa 1 - Vegetativo,43,777000.9742124564,8292967.606480363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121738627552986,0.0501664318144321,5.89777664572e-05,0.5833041767433363,media
Etapa 1 - Vegetativo,44,776921.9516232907,8292906.324913788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122789897024632,0.0508914478123188,7.67519159126e-05,0.5262580327470616,baixa
Etapa 1 - Vegetativo,45,776855.9964438214,8292843.349014252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116668894886971,0.0455972328782082,0.0005719948676414,0.5471777336470397,baixa
Etapa 1 - Vegetativo,46,777176.7604133518,8293230.473769219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117751352488995,0.0595035366714001,3.12176889565e-05,1.0,media
Etapa 1 - Vegetativo,47,777097.7378241856,8293169.192202646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116355523467064,0.0591044388711453,6.98774165357e-05,0.8592588103166575,media
Etapa 1 - Vegetativo,48,777018.7152350196,8293107.910636076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112695075571537,0.0582351833581924,4.19213210989e-05,0.9015647748532275,media
Etapa 1 - Vegetativo,49,776940.3389066029,8293046.526751273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112471044063568,0.056416567414999,0.0001242458529304,0.7420016629928057,media
Etapa 1 - Vegetativo,50,776879.6480827129,8292977.154535684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111180923879147,0.0598174743354321,0.000108916494355,0.442952473936719,media
Etapa 1 - Vegetativo,51,777117.6285203915,8293307.62702215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109790831804276,0.0567995756864548,6.93950860295e-05,0.6131087564980837,media
Etapa 1 - Vegetativo,52,777043.4805223201,8293242.335905791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119327940046787,0.0621899142861366,0.000279533851426,0.6071884104104643,media
Etapa 1 - Vegetativo,53,776974.3710164293,8293173.122972502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121014475822449,0.0662437677383423,0.0001821637561079,0.5127631300588839,media
Etapa 1 - Vegetativo,54,776918.7991762616,8293110.160872483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122366294264793,0.0630377382040024,0.0005643212352879,0.0,media
